year,state,total_revenue,instruction_expense,property_expense,total_edu_expense,per_pupil_expense
2007,New Hampshire,2896467974.1045423,1675895426.879759,68362583.02203123,2848304309.916582,12669.29331732114
2007,New Jersey,28001499202.995537,15451567529.98914,291189035.0582612,28425892001.51193,18637.57804496918
2007,New Mexico,3880187999.4190083,1903779032.5178545,18857046.783541203,3750263779.480182,9699.04145325115
2007,New York,57586911737.57323,34928208568.77763,581546500.300706,56087436788.49011,19202.458368299718
2007,North Carolina,13880165968.826939,8077400641.132786,437739677.3569609,14772807362.413708,9202.456087044593
2007,North Dakota,1152210945.7980678,562339383.9848222,35146908.12208332,1081651030.407655,9557.821372418517
2007,Ohio,25746708938.64941,12119435688.701378,474141588.65919596,24636479489.869064,11706.218667708425
2007,Oklahoma,6057473414.506578,3187892436.928051,130290366.56709205,5996987951.003478,8466.259600081026
2007,Oregon,6553489740.185129,3421366930.5182695,93611588.66621812,6195873966.97289,10635.492645001978
2007,Pennsylvania,27767805722.204075,14442267256.913017,370032938.9109828,27147595164.003357,13268.89989003675
2007,Rhode Island,2483877396.129829,1422069203.9101338,16280845.246660106,2470734461.07927,16409.310376093603
2007,South Carolina,8253294046.231346,4020126879.5889544,309763713.4477192,8514132786.138129,9924.762074254131
2007,South Dakota,1318093292.935112,656646871.6406758,48329436.884649515,1256475053.3893614,9145.736546382304
2007,Tennessee,8942978715.662287,5149590421.193246,187268342.29238647,8791225628.606918,8134.045147630484
2007,Texas,50101039478.86546,24878692847.589664,1308091851.8295906,49862722387.805214,9208.243795275439
2007,Utah,4373112063.713816,2184678118.47562,416954122.2043194,4308425643.123187,6742.68008893519
2007,Vermont,1668247398.7431054,951640830.5904351,30477032.07123496,1595543863.2317765,15798.128386916302
2007,Virginia,16161855273.919909,8833218665.157314,812707716.363554,16277346946.290344,12104.412993990603
2007,Washington,12096427581.820509,6014718092.795598,382356415.50396925,12076043688.98892,10072.927404963779
2007,West Virginia,3518212211.3216424,1884503419.8326004,45334054.79144119,3280135692.141708,11070.728303961569
2007,Wisconsin,11655686536.722488,6399025771.622348,217444925.1690251,11099756215.433676,11938.884538588418
2007,Wyoming,1708584920.388691,766727554.2363873,68190876.76686345,1597450093.5543547,15779.607720577596
2007,American Samoa,71748814.8397768,33123186.16487735,2113691.8816544646,74975022.3126477,3443.6863973531654
2007,Guam,264153804.90657946,148436592.491637,4569583.169999325,259091385.64776552,7808.775945056959
2007,Northern Mariana Islands,77197954.87207608,49982593.87712571,456910.6262841103,69438786.53180735,5416.137362425365
2007,Puerto Rico,3808905913.473758,2570655606.6889677,93934602.97766492,3936511881.92876,5904.619937108738
2007,Virgin Islands,249993895.43719554,110910990.69113348,9905066.503144562,208390178.34128153,10243.086026950641
2008,Alabama,8576526990.685635,4468699170.663647,178895297.18961185,8665148570.218279,9638.047412251572
2008,Alaska,2551885196.4517727,1245656439.9208093,130487536.33194613,2490353790.453222,17223.85734058513
2008,Arizona,11463816426.589668,5296733973.125024,545564743.7661713,11226302115.928934,9017.136886155791
2008,Arkansas,5210356393.216946,2704698772.4398828,272818147.2538469,5228017852.02111,9871.028202115158
2008,California,79396312699.06856,41186884213.095314,1303898512.7687445,80362549211.28752,10358.169853648116
2008,Colorado,9044571903.586359,4736968754.810402,346632848.9463918,9542439522.493574,10396.07103477425
2008,Connecticut,10549977642.924854,5828569609.299745,256015523.64029765,10470756696.691147,16322.032177907415
2008,Delaware,1884532704.4207606,999717895.0419037,40532330.16849742,1959085833.7104452,13744.751861330311
2008,District of Columbia,1520559579.0822515,767170378.1040627,77904507.78854452,1771955800.4051082,22201.174214943592
2008,Florida,32685520491.601574,16269248006.681038,1388024952.0238361,34218110339.207367,10027.09188910512
2008,Georgia,20813706756.966644,11290437059.959396,484855539.23719597,20932817000.81512,10804.066102190865
2008,Hawaii,2784714879.879914,1428914449.5463789,59163254.36676219,2500593651.7699847,13584.229211854921
2008,Idaho,2416149829.138883,1285506227.7837374,115811875.72512692,2522684610.4649544,7874.52774926499
2008,Illinois,28344463641.24177,14334633768.392307,973335155.9714543,27413314542.068523,12323.457569100292
2008,Indiana,13706740042.197508,5622701898.66054,530658064.3129822,11600866525.679827,10024.862407862407
2008,Iowa,5905368431.505,3036459301.583257,167038336.275737,5801509513.697097,9694.899183940772
2008,Kansas,6162365847.667845,3105141678.373822,249213514.59661502,5587263268.746233,11747.136667858784
2008,Kentucky,7314112195.730831,3847731948.859863,210530286.07282758,7421487556.140361,10469.643915783803
2008,Louisiana,8763120414.609625,4472252950.387645,233348487.05754218,8548208231.414746,11343.600562927595
2008,Maine,2900067833.612337,1648465145.3838267,52968964.00866222,2754395348.470114,14049.076050960739
2008,Maryland,14585286449.917536,7642370737.114217,159966399.47903654,14074285038.38556,15022.244613405293
2008,Massachusetts,16278487571.107594,9526601700.199366,344976424.6443803,15802399466.857368,15535.025299229459
2008,Michigan,21871272252.707546,10775023793.765911,526977646.71017593,21079843943.74614,11888.70872677111
2008,Minnesota,11474754969.426716,6052778116.169399,367854364.5789933,11130744463.07178,11255.536053840402
2008,Mississippi,4891499856.263461,2559916724.2701497,171083454.64970762,4679015522.404866,8589.076487554748
2008,Missouri,11010215193.428234,5701206245.033214,344203658.57714015,10920226303.14743,10450.693325220736
2008,Montana,1737982194.9428666,935730491.3916388,55016428.173239574,1726072995.0539937,10898.819055006203
2008,Nebraska,3663998122.2327323,2130564007.9815097,165659344.1606062,3776545648.3740497,11678.02274933466
2008,Nevada,4865024261.528734,2328972841.977455,103666687.47619402,4717386431.819287,9291.363079009581
2008,New Hampshire,2913707073.0443745,1725822602.0156245,55143663.55302063,2864886123.542738,13214.135325564437
2008,New Jersey,27748522394.3213,16134628048.833876,157928706.01600537,29071710456.833843,19642.844488929557
2008,New Mexico,4075053566.2237453,1960625768.732266,28254277.09964562,3964348146.729739,9927.87997380436
2008,New York,58820680843.55899,35672974060.93358,728666710.8848228,56746858325.97701,19869.136835065
2008,North Carolina,13852582342.467028,8142806816.510212,729159584.5326308,14909180331.413097,8903.433342777389
2008,North Dakota,1177975623.0215743,574251481.1456506,39786530.79162854,1093606045.4600773,9710.505552639768
2008,Ohio,25411668784.27658,12040624488.433298,478705699.1613726,24390548032.05675,11883.135023664325
2008,Oklahoma,6111469974.595905,3172089226.695513,141523459.56545427,5964039238.054872,8511.044644059768
2008,Oregon,6820531802.368917,3520426162.9086637,116953777.00172317,6746798192.482874,11040.391113918526
2008,Pennsylvania,27838854051.736797,14323646097.821337,467636450.756989,27056154722.555153,13325.609387700124
2008,Rhode Island,2478709500.86983,1436021926.5035694,13882858.191650836,2470488350.0980573,17084.514762915518
2008,South Carolina,8665739995.85494,4104569220.2703032,473124678.8971496,8522292012.409075,10205.450388522222
2008,South Dakota,1345442133.3994555,671878942.0283972,52026577.89373581,1290205624.214823,9388.34551306763
2008,Tennessee,9174695781.429623,5305125941.175911,265691226.99073866,9263887686.788446,8507.700422195698
2008,Texas,50803993881.43108,26019868993.218025,1320607776.8552554,52917002091.29822,9476.410022154823
2008,Utah,4900805338.6471815,2496373311.7767057,546975359.9579895,4976279718.569612,7064.111317538538
2008,Vermont,1677207189.5044937,951083710.2987093,31070158.72829919,1615007951.317613,16168.197972160166
2008,Virginia,16194362704.751518,8921697324.4611,849888702.6452906,16422987342.427704,12217.557210071389
2008,Washington,12381807378.285059,6192835045.2682085,392484238.67731524,12474008804.63639,10358.169853648116
2008,West Virginia,3529819296.2327003,1876204461.6322346,59291933.3356479,3292420740.2380877,11268.912941296685
