,year,state,ev_r,ev_d,population,total_vap,total_reg,total_vote,perc_vap,perc_reg,d_placed,r_placed,perc_margin,vote_perc_d,vote_perc_r,vote_perc_t,vote_perc_o,electoral,governor,con_house_d,con_house_r,con_sen_d,con_sen_r,leg_house_d,leg_house_r,leg_sen_d,leg_sen_r
85,2012,ohio,0,18,11544225.0,7863454.454545454,7987203.0,5590934,58.83636363636363,70.0,1,2,2.97,50.58,47.6,0.0,1.82,D,R,5,13,1,1,40,59,10,23
86,2012,oklahoma,7,0,3814820.0,2271035.4545454546,2114713.0,1334872,53.972727272727276,63.1,2,1,33.54,33.23,66.77,0.0,0.0,R,R,1,4,0,2,31,67,16,32
87,2012,oregon,0,7,3899353.0,2170212.9,2199360.0,1789270,62.260000000000005,81.4,1,2,12.09,54.24,42.15,0.0,3.61,D,D,4,1,2,0,30,30,16,14
88,2012,pennsylvania,0,20,12763536.0,8864096.909090908,8508015.0,5755620,55.59090909090909,67.6,1,2,5.38,51.95,46.57,0.0,1.48,D,R,7,12,1,1,91,112,20,30
89,2012,rhode island,0,4,1050292.0,737891.8181818182,732860.0,446049,57.09090909090909,60.9,1,2,27.46,62.7,35.24,0.0,2.06,D,I,2,0,2,0,65,9,29,8
90,2012,south carolina,9,0,4723723.0,2472356.272727273,2875496.0,1964118,44.336363636363636,68.3,2,1,10.47,44.09,54.56,0.0,1.35,R,R,1,5,0,2,48,76,19,27
91,2012,south carolina,9,0,4723723.0,2472356.272727273,2875496.0,1964118,44.336363636363636,68.3,2,1,10.47,44.09,54.56,0.0,1.35,R,R,1,5,0,2,48,76,19,27
92,2012,south dakota,3,0,833354.0,504465.2727272727,581753.0,363815,65.06363636363636,62.5,2,1,18.02,39.87,57.89,0.0,2.24,R,R,0,1,1,1,19,50,5,30
93,2012,tennessee,11,0,6456243.0,3622186.090909091,4013242.0,2460904,49.67272727272727,61.3,2,1,20.38,39.04,59.42,0.0,1.54,R,R,2,7,0,2,34,64,13,20
94,2012,texas,38,0,26059203.0,11903894.272727273,13646226.0,7999657,45.71818181818182,58.6,2,1,15.77,41.35,57.13,0.0,1.52,R,R,9,23,0,2,49,101,12,19
95,2012,utah,6,0,2855287.0,1138758.0,1513241.0,1020861,61.436363636363645,67.5,2,1,47.88,24.67,72.55,0.0,2.79,R,R,1,2,0,2,17,58,7,22
96,2012,vermont,0,3,626011.0,397749.8181818182,461237.0,299290,61.618181818181824,64.9,1,2,35.6,66.57,30.97,0.0,2.46,D,D,1,0,1,0,94,48,20,8
97,2012,virginia,0,13,8185867.0,4442881.0,5428833.0,3854489,51.099999999999994,71.0,1,2,3.87,51.16,47.28,0.0,1.56,D,R,3,8,2,0,32,67,20,20
98,2012,washington,0,12,6897012.0,3495940.090909091,3904959.0,3145958,59.50909090909091,80.6,1,2,14.77,55.8,41.03,0.0,3.18,D,D,5,4,2,0,56,42,27,22
99,2012,west virginia,5,0,1855413.0,1345597.1818181819,1246559.0,672119,53.45454545454547,53.9,2,1,26.69,35.45,62.14,0.0,2.41,R,D,0,0,2,0,0,0,0,0
100,2012,wisconsin,0,10,5726398.0,3537026.272727273,3644205.0,3068434,65.71818181818182,84.2,1,2,6.94,52.83,45.89,0.0,1.29,D,R,3,5,1,1,39,59,17,16
101,2012,wyoming,3,0,576412.0,321880.45454545453,240438.0,249061,59.68181818181818,103.6,2,1,40.82,27.82,68.64,0.0,3.54,R,R,0,1,0,2,10,50,4,26
102,2008,alabama,9,0,4661900.0,3497000.0,2841195.0,2099819,60.0,73.9,2,1,21.58,38.74,60.32,0.0,0.94,R,R,2,5,0,2,62,43,22,13
103,2008,alaska,3,0,686293.0,488000.0,495731.0,326197,66.8,65.8,2,1,21.54,37.89,59.42,0.0,2.69,R,R,0,1,0,2,17,23,9,11
104,2008,arizona,10,0,6500180.0,4688000.0,2987451.0,2303838,49.1,77.1,2,1,8.48,44.91,53.39,0.0,1.69,R,D,4,4,0,2,27,33,13,17
105,2008,arkansas,6,0,2855390.0,2108000.0,1684240.0,1086617,51.5,64.5,2,1,19.85,38.86,58.72,0.0,2.42,R,D,3,1,1,0,72,28,27,8
106,2008,california,0,55,36756666.0,26993000.0,17304091.0,13583083,50.3,78.5,1,2,24.02,60.92,36.9,0.0,2.19,D,R,34,19,2,0,48,32,25,15
107,2008,colorado,0,9,4939456.0,3694000.0,2637014.0,2401462,65.0,91.1,1,2,8.95,53.66,44.71,0.0,1.63,D,D,4,3,1,1,39,26,20,15
108,2008,connecticut,0,7,3501252.0,2651000.0,2104989.0,1646793,62.1,78.2,1,2,22.37,60.59,38.22,0.0,1.19,D,R,4,1,2,0,107,44,23,13
109,2008,delaware,0,3,873092.0,648000.0,602317.0,412616,63.7,68.5,1,2,24.98,61.91,36.93,0.0,1.16,D,D,0,1,2,0,18,23,13,8
110,2008,d.c.,0,3,591833.0,469000.0,426761.0,265853,56.7,62.3,1,2,85.92,92.46,6.53,0.0,1.01,D,D,1,0,2,0,0,0,0,0
111,2008,florida,0,27,18328340.0,14069000.0,11247634.0,8412248,59.8,74.8,1,2,2.81,50.91,48.1,0.0,0.99,D,R,9,16,1,1,42,78,14,26
112,2008,georgia,15,0,9685744.0,7018000.0,5309342.0,3932158,56.0,74.1,2,1,5.2,46.9,52.1,0.0,1.0,R,R,6,7,0,2,74,106,22,34
113,2008,hawaii,0,4,1288198.0,977000.0,691356.0,453568,46.4,65.6,1,2,45.26,71.85,26.58,0.0,1.57,D,R,2,0,0,0,43,8,20,5
114,2008,idaho,4,0,1523816.0,1095000.0,863538.0,658454,60.1,76.3,2,1,25.3,35.91,61.21,0.0,2.89,R,R,0,2,0,2,19,51,7,28
115,2008,illinois,0,21,12901563.0,9521000.0,7789500.0,5530179,58.1,71.0,1,2,25.1,61.83,36.73,0.0,1.44,D,D,10,8,2,0,67,51,37,22
116,2008,illinois,0,21,12901563.0,9521000.0,7789500.0,5530179,58.1,71.0,1,2,25.1,61.83,36.73,0.0,1.44,D,D,11,8,2,0,67,51,37,22
117,2008,indiana,0,11,6376792.0,4686000.0,4514759.0,2756658,58.8,61.1,1,2,1.03,49.84,48.81,0.0,1.34,D,R,5,4,1,1,51,49,17,33
118,2008,iowa,0,7,3002555.0,2244000.0,2105531.0,1537123,68.5,73.0,1,2,9.53,53.93,44.39,0.0,1.68,D,D,3,2,1,1,54,46,30,20
119,2008,kansas,6,0,2802134.0,2037000.0,1749759.0,1238873,60.8,70.8,2,1,14.92,41.55,56.48,0.0,1.97,R,D,2,2,0,2,47,78,10,30
120,2008,kansas,6,0,2802134.0,2037000.0,1749759.0,1238873,60.8,70.8,2,1,14.92,41.55,56.48,0.0,1.97,R,D,2,2,0,2,47,78,10,30
121,2008,kentucky,8,0,4269245.0,3179000.0,2906809.0,1827587,57.5,62.9,2,1,16.22,41.15,57.37,0.0,1.49,R,D,2,4,0,2,63,37,15,22
122,2008,louisiana,9,0,4410796.0,3161000.0,2945618.0,1960761,62.0,66.6,2,1,18.63,39.93,58.56,0.0,1.5,R,R,2,5,1,1,53,50,23,16
123,2008,louisiana,9,0,4410796.0,3161000.0,2945618.0,1960761,62.0,66.6,2,1,18.63,39.93,58.56,0.0,1.5,R,R,2,3,1,1,53,50,23,16
124,2008,louisiana,9,0,4410796.0,3161000.0,2945618.0,1960761,62.0,66.6,2,1,18.63,39.93,58.56,0.0,1.5,R,R,3,4,1,1,53,50,23,16
125,2008,maine,0,4,1316456.0,1020000.0,994153.0,731163,71.7,73.5,1,2,17.32,57.71,40.38,0.0,1.91,D,D,2,0,0,1,90,59,18,17
126,2008,maryland,0,10,5633597.0,4218000.0,3428935.0,2631596,62.4,76.7,1,2,25.44,61.92,36.47,0.0,1.61,D,D,6,2,1,0,104,37,33,14
127,2008,maryland,0,10,5633597.0,4218000.0,3428935.0,2631596,62.4,76.7,1,2,25.44,61.92,36.47,0.0,1.61,D,D,5,2,1,0,104,37,33,14
128,2008,maryland,0,10,5633597.0,4218000.0,3428935.0,2631596,62.4,76.7,1,2,25.44,61.92,36.47,0.0,1.61,D,D,6,2,1,0,104,36,33,14
129,2008,massachusetts,0,12,6497967.0,4962000.0,4220488.0,3081069,62.1,73.0,1,2,25.81,61.8,35.99,0.0,2.21,E,D,10,0,2,0,141,19,35,5
130,2008,michigan,0,17,10003422.0,7487000.0,7470764.0,5010606,66.9,67.1,1,2,16.44,57.33,40.89,0.0,1.78,D,D,6,9,2,0,58,52,17,21
131,2008,minnesota,0,10,5220393.0,3898000.0,3742238.0,2910369,74.7,77.8,1,2,10.24,54.06,43.82,0.0,2.12,D,R,5,3,1,1,85,49,44,22
132,2008,minnesota,0,10,5220393.0,3898000.0,3742238.0,2910369,74.7,77.8,1,2,10.24,54.06,43.82,0.0,2.12,D,R,5,3,1,1,85,47,45,22
133,2008,mississippi,6,0,2938618.0,2109000.0,1895583.0,1289939,61.2,68.0,2,1,13.17,43.0,56.17,0.0,0.83,R,R,3,1,0,2,75,47,27,25
134,2008,mississippi,6,0,2938618.0,2109000.0,1895583.0,1289939,61.2,68.0,2,1,13.17,43.0,56.17,0.0,0.83,R,R,3,1,0,2,74,48,27,25
135,2008,missouri,11,0,5911605.0,4430000.0,3795956.0,2929111,66.1,77.2,2,1,0.13,49.23,49.36,0.0,1.41,R,R,4,5,1,0,71,92,13,21
136,2008,montana,3,0,967440.0,731000.0,668085.0,492750,67.4,73.8,2,1,2.38,47.11,49.49,0.0,3.39,R,D,0,1,2,0,49,50,26,24
